date,temperature
2025-11-01T00:38:44+02:00,6.74
2025-11-01T01:39:27+02:00,6.79
2025-11-01T02:40:16+02:00,7.87
2025-11-01T03:41:06+02:00,7.1
2025-11-01T04:41:56+02:00,6.68
2025-11-01T05:42:46+02:00,3.66
2025-11-01T06:43:36+02:00,6.61
2025-11-01T07:44:26+02:00,5.83
2025-11-01T08:45:16+02:00,3.39
2025-11-01T09:46:07+02:00,6.02
2025-11-01T10:46:56+02:00,4.4
2025-11-01T11:47:46+02:00,6.26
2025-11-01T12:48:25+02:00,4.83
2025-11-01T13:49:05+02:00,6.5
2025-11-01T14:49:15+02:00,7.08
2025-11-01T15:49:25+02:00,3.26
2025-11-01T16:49:35+02:00,7.03
2025-11-01T17:49:45+02:00,3.13
2025-11-01T18:49:55+02:00,6.4
2025-11-01T19:50:05+02:00,5.75
2025-11-01T19:50:15+02:00,3.38
2025-11-01T20:50:25+02:00,5.57
2025-11-01T21:50:35+02:00,3.58
2025-11-01T22:50:45+02:00,3.86
2025-11-01T23:50:55+02:00,6.94
2025-11-02T00:51:05+02:00,5.31
2025-11-02T01:51:15+02:00,6.48
2025-11-02T02:51:25+02:00,4.4
2025-11-02T03:51:35+02:00,3.24
2025-11-02T04:51:45+02:00,3.74
2025-11-02T05:51:55+02:00,3.91
2025-11-02T06:52:05+02:00,7.23
2025-11-02T07:52:15+02:00,4.61
2025-11-02T08:52:25+02:00,5.26
2025-11-02T09:52:35+02:00,7.83
2025-11-02T10:52:45+02:00,3.66
2025-11-02T11:52:55+02:00,7.99
2025-11-02T12:53:05+02:00,7.86
2025-11-02T13:53:15+02:00,3.32
2025-11-02T14:53:25+02:00,5.05
2025-11-02T15:53:35+02:00,5.4
2025-11-02T16:53:45+02:00,6.01
2025-11-02T17:53:55+02:00,6.32
2025-11-02T18:54:05+02:00,7.4
2025-11-02T19:54:15+02:00,3.54
2025-11-02T20:54:25+02:00,4.28
2025-11-02T21:54:35+02:00,6.49
2025-11-02T22:54:45+02:00,5.44
2025-11-02T23:54:55+02:00,7.08
2025-11-03T01:55:05+02:00,7.87
2025-11-03T02:55:15+02:00,5.17
2025-11-03T03:55:25+02:00,3.79
2025-11-03T04:55:35+02:00,6.46
2025-11-03T05:55:47+02:00,7.0
2025-11-03T06:55:57+02:00,4.01
2025-11-03T07:56:07+02:00,5.0
2025-11-03T08:56:17+02:00,5.52
2025-11-03T09:56:27+02:00,7.01
2025-11-03T10:56:37+02:00,7.31
2025-11-03T11:56:47+02:00,4.68
2025-11-03T12:56:57+02:00,4.57
2025-11-03T13:57:07+02:00,4.92
2025-11-03T14:57:17+02:00,5.64
2025-11-03T15:57:27+02:00,7.23
2025-11-03T16:57:37+02:00,5.36
2025-11-03T17:57:47+02:00,5.5
2025-11-03T18:57:57+02:00,7.94
2025-11-03T19:58:07+02:00,6.82
2025-11-03T20:58:17+02:00,6.73
2025-11-03T21:58:27+02:00,3.31
2025-11-03T22:58:37+02:00,7.5
