date,temperature
2025-11-06T19:38:44+02:00,6.74
2025-11-06T19:39:27+02:00,6.79
2025-11-06T19:40:16+02:00,7.87
2025-11-06T19:41:06+02:00,7.1
2025-11-06T19:41:56+02:00,6.68
2025-11-06T19:42:46+02:00,3.66
2025-11-06T19:43:36+02:00,6.61
2025-11-06T19:44:26+02:00,5.83
2025-11-06T19:45:16+02:00,3.39
2025-11-06T19:46:07+02:00,6.02
2025-11-06T19:46:56+02:00,4.4
2025-11-06T19:47:46+02:00,6.26
2025-11-06T19:48:25+02:00,4.83
2025-11-06T19:49:05+02:00,6.5
2025-11-06T19:49:15+02:00,7.08
2025-11-06T19:49:25+02:00,3.26
2025-11-06T19:49:35+02:00,7.03
2025-11-06T19:49:45+02:00,3.13
2025-11-06T19:49:55+02:00,6.4
2025-11-06T19:50:05+02:00,5.75
2025-11-06T19:50:15+02:00,3.38
2025-11-06T19:50:25+02:00,5.57
2025-11-06T19:50:35+02:00,3.58
2025-11-06T19:50:45+02:00,3.86
2025-11-06T19:50:55+02:00,6.94
2025-11-06T19:51:05+02:00,5.31
2025-11-06T19:51:15+02:00,6.48
2025-11-06T19:51:25+02:00,4.4
2025-11-06T19:51:35+02:00,3.24
2025-11-06T19:51:45+02:00,3.74
2025-11-06T19:51:55+02:00,3.91
2025-11-06T19:52:05+02:00,7.23
2025-11-06T19:52:15+02:00,4.61
2025-11-06T19:52:25+02:00,5.26
2025-11-06T19:52:35+02:00,7.83
2025-11-06T19:52:45+02:00,3.66
2025-11-06T19:52:55+02:00,7.99
2025-11-06T19:53:05+02:00,7.86
2025-11-06T19:53:15+02:00,3.32
2025-11-06T19:53:25+02:00,5.05
2025-11-06T19:53:35+02:00,5.4
2025-11-06T19:53:45+02:00,6.01
2025-11-06T19:53:55+02:00,6.32
2025-11-06T19:54:05+02:00,7.4
2025-11-06T19:54:15+02:00,3.54
2025-11-06T19:54:25+02:00,4.28
2025-11-06T19:54:35+02:00,6.49
2025-11-06T19:54:45+02:00,5.44
2025-11-06T19:54:55+02:00,7.08
2025-11-06T19:55:05+02:00,7.87
2025-11-06T19:55:15+02:00,5.17
2025-11-06T19:55:25+02:00,3.79
2025-11-06T19:55:35+02:00,6.46
2025-11-06T19:55:47+02:00,7.0
2025-11-06T19:55:57+02:00,4.01
2025-11-06T19:56:07+02:00,5.0
2025-11-06T19:56:17+02:00,5.52
2025-11-06T19:56:27+02:00,7.01
2025-11-06T19:56:37+02:00,7.31
2025-11-06T19:56:47+02:00,4.68
2025-11-06T19:56:57+02:00,4.57
2025-11-06T19:57:07+02:00,4.92
2025-11-06T19:57:17+02:00,5.64
2025-11-06T19:57:27+02:00,7.23
2025-11-06T19:57:37+02:00,5.36
2025-11-06T19:57:47+02:00,5.5
2025-11-06T19:57:57+02:00,7.94
2025-11-06T19:58:07+02:00,6.82
2025-11-06T19:58:17+02:00,6.73
2025-11-06T19:58:27+02:00,3.31
2025-11-06T19:58:37+02:00,7.5
2025-11-06T19:58:47+02:00,3.4
2025-11-06T19:58:57+02:00,6.68
2025-11-06T19:59:07+02:00,6.1
2025-11-06T19:59:17+02:00,5.0
2025-11-06T19:59:27+02:00,7.39
2025-11-06T19:59:37+02:00,7.29
2025-11-06T19:59:47+02:00,5.06
2025-11-06T19:59:57+02:00,5.89
2025-11-06T20:00:07+02:00,5.18
2025-11-06T20:00:17+02:00,4.14
2025-11-06T20:00:27+02:00,7.68
2025-11-06T20:00:37+02:00,3.25
2025-11-06T20:00:47+02:00,5.74
2025-11-06T20:00:57+02:00,6.46
2025-11-06T20:01:07+02:00,3.91
2025-11-06T20:01:17+02:00,4.05
2025-11-06T20:01:27+02:00,4.14
2025-11-06T20:01:37+02:00,4.26
2025-11-06T20:01:47+02:00,4.24
2025-11-06T20:01:57+02:00,3.38
2025-11-06T20:02:07+02:00,6.29
2025-11-06T20:02:17+02:00,6.42
2025-11-06T20:02:27+02:00,6.81
2025-11-06T20:02:37+02:00,5.78
2025-11-06T20:02:47+02:00,7.62
2025-11-06T20:02:57+02:00,7.31
2025-11-06T20:03:07+02:00,5.23
2025-11-06T20:03:17+02:00,7.46
2025-11-06T20:03:27+02:00,3.7
2025-11-06T20:03:37+02:00,3.0
2025-11-06T20:03:47+02:00,3.05
2025-11-06T20:03:57+02:00,6.21
2025-11-06T20:04:07+02:00,4.04
2025-11-06T20:04:17+02:00,7.95
2025-11-06T20:04:27+02:00,5.44
2025-11-06T20:04:37+02:00,6.09
2025-11-06T20:04:47+02:00,5.07
2025-11-06T20:04:57+02:00,5.31
2025-11-06T20:05:07+02:00,7.44
2025-11-06T20:05:17+02:00,7.84
2025-11-06T20:05:27+02:00,3.33
2025-11-06T20:05:37+02:00,3.88
2025-11-06T20:05:47+02:00,3.22
2025-11-06T20:05:57+02:00,4.52
2025-11-06T20:06:07+02:00,6.94
2025-11-06T20:06:17+02:00,3.03
2025-11-06T20:06:27+02:00,4.44
2025-11-06T20:06:37+02:00,6.52
2025-11-06T20:06:47+02:00,7.04
2025-11-06T20:06:57+02:00,6.09
2025-11-06T20:07:07+02:00,6.6
2025-11-06T20:07:17+02:00,3.17
2025-11-06T20:07:27+02:00,4.76
2025-11-06T20:07:37+02:00,7.84
2025-11-06T20:07:47+02:00,7.7
2025-11-06T20:07:57+02:00,6.45
2025-11-06T20:08:07+02:00,7.72
2025-11-06T20:08:17+02:00,7.47
2025-11-06T20:08:27+02:00,5.98
2025-11-06T20:08:37+02:00,7.78
2025-11-06T20:08:47+02:00,4.13
2025-11-06T20:08:57+02:00,6.87
2025-11-06T20:09:07+02:00,3.88
2025-11-06T20:09:17+02:00,5.99
2025-11-06T20:09:27+02:00,5.41
2025-11-06T20:09:37+02:00,4.79
2025-11-06T20:09:47+02:00,3.41
2025-11-06T20:09:57+02:00,3.57
2025-11-06T20:10:07+02:00,5.44
2025-11-06T20:10:17+02:00,5.91
2025-11-06T20:10:27+02:00,5.79
2025-11-06T20:10:37+02:00,6.67
2025-11-06T20:10:47+02:00,4.59
2025-11-06T20:10:57+02:00,5.52
2025-11-06T20:11:07+02:00,3.84
2025-11-06T20:11:17+02:00,5.81
2025-11-06T20:11:27+02:00,6.05
